Frequent Words,Frequency
singh,297
@,69
kumar,156
...,90
vs,95
state,530
bihar,37
februari,23
",",5907
share,52
link,45
mobil,81
view,153
premium,56
member,83
advanc,35
search,36
case,721
remov,51
cite,28
doc,34
-,240
[,102
],95
tax,34
act,349
code,296
crimin,246
procedur,112
section,729
warn,30
translat,28
take,173
note,97
read,98
judgment,156
use,156
virtual,41
legal,64
assist,76
get,42
email,37
alert,56
whenev,28
new,50
match,28
queri,65
(,1572
servic,103
),1648
.,4403
tri,65
--,280
free,39
one,164
month,53
patna,66
high,236
court,851
order,302
judicatur,11
miscellan,19
no.38807,58
ari,31
district-,12
nawada,14
======================================================,14
s/o,61
r/o,30
petit,940
versu,19
1.,36
2.,49
financ,54
unit,26
place,111
delhi,62
3.,41
reserv,12
bank,210
india,170
4.,33
offenc,382
5.,33
llc,46
6.,30
youtub,34
7.,30
whatsapp,11
8.,26
platform,31
inc.,25
9.,23
googl,29
opposit,17
parti,114
nalanda,14
resid,50
polic,598
cr,60
misc,69
dt.01-02-2022,56
appear,101
:,938
mr.,153
verma,14
advoc,145
union,37
dr.,28
k.n,13
addl,11
solicitor,13
gener,73
r.b.i,16
senior,132
amit,16
app,44
rajesh,14
sharma,37
thakur,14
coram,16
honour,11
justic,64
oral,18
matter,154
heard,35
video,39
learn,286
addit,59
sri,140
respond,430
mukul,20
rohatgi,20
smt,28
no.11-meta,16
gupta,22
&,284
short,25
``,540
along,58
superintend,55
counsel,140
prasad,17
punjab,38
nation,35
p.n.b,12
director,69
sinha,11
srivastava,13
also,330
join,14
proceed,130
repr,29
submit,175
page,158
no.5,17
date,182
name,136
branch,40
type,12
s.k,12
mention,67
investig,464
e.o.u,26
pursuant,11
inform,411
block,26
detail,100
p.,26
requir,83
suppli,14
request,44
copi,73
thereof,15
may,182
mark,44
sent,73
mail,19
forward,13
seek,49
connect,87
want,12
two,83
week,17
',128
time,76
file,282
affidavit,46
behalf,57
five,19
provid,115
said,291
taken,120
direct,163
send,31
grant,64
day,77
consid,102
submiss,46
object,45
without,80
opinion,62
upload,25
individu,36
prima,51
faci,51
per,115
abu,49
even,84
languag,18
judg,48
suprem,89
offic,262
materi,73
public,108
specif,65
aforesaid,77
issu,165
regard,114
observ,62
decid,43
ministri,13
necessari,50
fact,159
deal,26
therefor,136
govern,83
secretari,13
stand,45
whether,76
social,22
agenc,44
shall,244
pray,24
allow,64
relat,61
illeg,22
cyber,175
report,295
receiv,84
given,101
properti,19
enforc,40
deputi,16
particip,12
princip,15
incom,24
depart,40
;,371
assur,12
action,139
relev,63
provi,96
prevent,33
money,58
applic,148
central,23
board,11
enquiri,15
sourc,34
done,36
includ,59
prosecut,90
appropri,32
produc,43
earlier,21
concern,96
particularli,15
joint,14
letter,51
variou,62
district,34
crime,295
jurisdict,133
must,90
repli,12
appoint,11
fraud,24
commit,131
well,53
whose,17
cheat,23
put,16
..,37
due,47
rai,13
exempt,14
person,283
offici,22
import,22
control,15
law,149
made,233
protect,46
account,165
henc,32
prayer,16
reject,12
present,157
next,17
hear,21
i.e,42
violat,66
guidelin,38
telecom,45
compani,124
oper,28
associ,13
make,51
argument,12
subsequ,27
accept,23
accordingli,22
follow,183
reproduc,19
regist,186
f.i.r,44
sim,16
come,50
way,26
complaint,293
term,43
circumst,49
head,25
relianc,23
limit,98
clau,27
circular,27
lodg,60
station,209
compet,26
forg,28
document,85
found,82
custom,91
form,55
would,204
10.,22
/,57
fir,198
cell,51
indic,28
give,54
reason,73
licens,29
fail,26
level,11
ii,27
obtain,43
complain,209
clearli,36
author,61
suspect,12
iii,23
subscrib,13
origin,26
within,102
notic,71
iv,15
three,46
v,16
forgeri,11
point,65
sale,14
penalti,15
impo,28
involv,53
knowledg,15
intim,11
secur,17
area,15
laid,33
process,43
activ,19
basi,58
larg,19
suffer,21
registr,85
mere,30
particular,45
arrest,58
never,16
complet,31
telecommun,14
neither,14
howev,58
written,17
sinc,64
post,48
mani,12
year,65
practic,12
respon,30
alreadi,54
manner,53
period,26
today,15
explain,17
adopt,11
cr.p.c,96
show,50
cau,135
upon,91
result,30
entir,32
countri,23
team,12
part,65
visit,11
face,17
ask,13
support,36
reli,42
madra,42
render,12
vs.,58
tamil,21
nadu,20
scc,158
onlin,47
cri,16
paragraph,23
power,132
proper,26
cogniz,160
everi,35
commiss,117
charg,83
reduc,14
write,27
sign,188
substanc,15
enter,21
book,22
kept,17
prescrib,32
woman,36
b,67
indian,96
penal,87
alleg,249
attempt,13
record,128
event,21
mental,14
disabl,13
's,92
interpret,11
special,42
c,38
statement,104
judici,66
magistr,210
sub-sect,30
possibl,17
forthwith,12
aggriev,16
refu,23
refer,92
satisfi,25
disclo,63
either,39
subordin,11
non-cogniz,11
trial,52
exerci,98
respect,84
except,42
warrant,37
notwithstand,11
local,16
chapter,19
stage,58
call,41
question,49
ground,43
empow,23
otherwi,31
rank,13
spot,18
offend,20
seriou,12
natur,36
need,13
suffici,50
victim,77
conduct,80
far,16
compli,11
superior,17
transmit,18
delay,18
hold,23
preliminari,39
